refcode,chemical_name,color,doi,authors,journal,first_page,volume,date,simplified_color
REFTUT,catena-(tris(μ4-5-Methylisophthalato)-diaqua-calcium-di-zinc dihydrate),,10.1039/c2ra21863a,"Qi-Bing Bo, Hong-Yan Wang, Jin-Ling Miao, Da-Qi Wang",RSC Advances,11650,2,2013-02-22,
REGJIW01,catena-(bis(μ6-Squarato)-bis(μ3-hydroxo)-tri-cobalt(ii) trihydrate),dark red,10.1039/b500614g,"M.Kurmoo, H.Kumagai, K.W.Chapman, C.J.Kepert",Chemical Communications,3012,,2005-10-28,red
REGLOG,catena-(tetrakis((μ5-Tartrato)-aqua)-hexa-cadmium undecahydrate),colorless,10.1039/c2ce26312b,"P.Vera-Cruz, R.A.Toscano, J.Balmaseda, M.Basterrechea, N.Nino, L.F.del Castillo",CrystEngComm,8606,14,2013-02-22,colorless
REGMUN,"catena-(bis(μ3-1,3,5-tris(imidazol-1-ylmethyl)-2,4,6-trimethylbenzene)-(μ2-4,4'-bipyridine-2,2'6,6'-tetracarboxylato)-di-cobalt tridecahydrate)",orange,10.1039/c2ce26338f,"Min Chen, Zheng-Shuai Bai, Qing Liu, T.-a.Okamura, Yi Lu, Wei-Yin Sun",CrystEngComm,8642,14,2013-02-22,orange
REGQUR,"catena-((μ6-Benzene-1,3,5-tricarboxylato)-(μ3-benzene-1,3,5-tricarboxylato)-(μ3-hydroxo)-tris(4H-imidazol-2-olato)-tetra-zinc)",colorless,10.1039/c2ce26290h,"Hui Yang, Hai-Xia Zhang, Duan-Chuan Hou, Tie-Hu Li, Jian Zhang",CrystEngComm,8684,14,2013-02-22,colorless
REGRAY,"catena-((μ6-Benzene-1,3,5-tricarboxylato)-(μ5-benzene-1,3,5-tricarboxylato)-(μ3-hydroxo)-tris(pyrrolidin-2-one)-penta-zinc)",colorless,10.1039/c2ce26290h,"Hui Yang, Hai-Xia Zhang, Duan-Chuan Hou, Tie-Hu Li, Jian Zhang",CrystEngComm,8684,14,2013-02-22,colorless
REGREC,"catena-((μ6-Benzene-1,3,5-tricarboxylato)-(μ5-benzene-1,3,5-tricarboxylato)-triaqua-tri-zinc)",colorless,10.1039/c2ce26290h,"Hui Yang, Hai-Xia Zhang, Duan-Chuan Hou, Tie-Hu Li, Jian Zhang",CrystEngComm,8684,14,2013-02-22,colorless
REGRIG,"catena-((μ6-Benzene-1,3,5-tricarboxylato)-(μ4-benzene-1,3,5-tricarboxylato)-bis(1,3-dimethylimidazolidin-2-one)-aqua-tri-zinc)",,10.1039/c2ce26290h,"Hui Yang, Hai-Xia Zhang, Duan-Chuan Hou, Tie-Hu Li, Jian Zhang",CrystEngComm,8684,14,2013-02-22,
REHHUJ,catena-((μ7-5-((4-Carboxybenzylidene)amino)isophthalato)-(μ6-5-((4-carboxybenzylidene)amino)isophthalato)-tris(dimethylformamide)-tri-cadmium dimethylformamide solvate decahydrate),light brown,10.1039/c2ce25913c,"E.J.Kyprianidou, G.S.Papaefstathiou, M.J.Manos, A.J.Tasiopoulos",CrystEngComm,8368,14,2013-03-18,brown
REHMEY,"catena-(bis((μ2-N,N'-bis(pyridin-3-ylmethyl)biphenyl-4,4'-dicarboxamide)-(μ2-4'-((pyridin-3-ylmethyl)carbamoyl)biphenyl-4-carboxylato))-(μ2-terephthalato)-di-cadmium)",colorless,10.1039/c2ce26034d,"Wen-yuan Xu, Xiao-zhao Tian, Xue-feng Feng, Hai-xiao Huang, Gong-ming Sun, Yu-mei Song, Feng Luo",CrystEngComm,8418,14,2013-03-18,colorless
REHVAD,catena-(bis((μ3-5-(pyridin-4-yl)isophthalato)-(μ2-4-(2-(pyridin-4-yl)vinyl)pyridine))-cobalt 4-(2-(pyridin-4-yl)vinyl)pyridine solvate),pink,10.1039/c2ce26533h,"Chao Hou, Qing Liu, T.-a.Okamura, Peng Wang, Wei-Yin Sun",CrystEngComm,8569,14,2013-03-18,pink
REHVEH,catena-((μ3-5-(pyridin-4-yl)isophthalato)-(μ2-4-(2-(pyridin-4-yl)ethyl)pyridine)-cobalt tetrahydrate),pink,10.1039/c2ce26533h,"Chao Hou, Qing Liu, T.-a.Okamura, Peng Wang, Wei-Yin Sun",CrystEngComm,8569,14,2013-03-18,pink
REJLAU,"catena-(tridecakis(μ2-Cyano)-bis(μ2-4-amino-3,5-dimethyl-1,2,4-triazolyl)-dodeca-copper (μ3-cyano)-bis(μ2-4-amino-3,5-dimethyl-1,2,4-triazolyl)-di-copper)",colorless,10.1002/ejic.200500978,"Xiang He, Can-Zhong Lu, Chuan-De Wu, Li-Juan Chen",European Journal of Inorganic Chemistry,2491,,2006-10-20,colorless
REJLIC,"catena-(tetrakis(μ3-Imidazole-4,5-dicarboxylato)-hexakis(μ2-2,5-bis(4-pyridyl)-1,3,4-thiadiazole)-hexa-cobalt(ii) bis(2,5-bis(4-pyridyl)-1,3,4-thiadiazole) clathrate octadecahydrate)",orange,10.1002/ejic.200501121,"Cui-Jin Li, Sheng Hu, Wei Li, Chi-Keung Lam, Yan-Zhen Zheng, Ming-Liang Tong",European Journal of Inorganic Chemistry,1931,,2006-10-20,orange
REKCUG,catena-(3-(Dimethylammonio)propylammonium tetrakis(μ3-phosphito)-tri-zinc(ii) monohydrate),colorless,10.1016/j.jssc.2006.04.008,"Lei Wang, Hong Ding, Ying Hou, Linlin Zhu, Zhan Shi, Shouhua Feng",Journal of Solid State Chemistry,2584,179,2006-10-20,colorless
REKZIR,"catena-((μ4-2,2'-Dihydroxy-(1,1')-binaphthalene-3,3'-dicarboxylato)-bis(μ3-acetato)-bis(μ3-2,2'-dihydroxy-(1,1')-binaphthalene-3,3'-dicarboxylato)-bis(μ2-acetato)-tetrakis(μ2-4,4'-bipyridyl)-(μ2-2,2'-dihydroxy-(1,1')-binaphthalene-3,3'-dicarboxylato)-hexa-cadmium(ii) hydrate)",colorless,10.1021/cg060194f,"Ling-Yun Zhang, Jie-Peng Zhang, Yan-Yong Lin, Xiao-Ming Chen",Crystal Growth and Design,1684,6,2006-10-20,colorless
RESDUQ,"catena-[(μ7-5-[(4-carboxylatophenyl)ethynyl]benzene-1,3-dicarboxylato)-(μ6-5-[(4-carboxylatophenyl)ethynyl]benzene-1,3-dicarboxylato)-tris(N,N-dimethylformamide)- tri-cadmium N,N-dimethylformamide ethanol solvate dihydrate]",colorless,10.1039/C3DT32851A,"Libo Sun, Hongzhu Xing, Jin Xu, Zhiqiang Liang, Jihong Yu, Ruren Xu",Dalton Transactions,5508,42,2013-05-19,colorless
RESQAJ,"catena-[(μ8-hexakis(3-(1,3,4-Triazol-1-yl)phenoxymethyl)benzene)-(μ4-terephthalato)-bis(μ2-terephthalato)-diaqua-dihydroxy-tetra-cadmium(ii) trihydrate]",colorless,10.1039/c3ce40119g,"Wei Wang, Wei-Qiu Kan, Jin Yang, Jian-Fang Ma",CrystEngComm,3824,15,2013-05-19,colorless
RESWOC,"catena-(tris(μ4-2,3,5,6-Tetrafluoro-1,4-benzenedicarboxylato)-aqua-(dimethylformamide)-di-erbium dimethylformamide solvate)",colorless,10.1021/ic060568u,"Banglin Chen, Yu Yang, F.Zapata, Guodong Qian, Yongshi Luo, Jiahua Zhang, E.B.Lobkovsky",Inorganic Chemistry,8882,45,2007-02-05,colorless
RESWUI02,"catena-((μ4-1,4-Benzenedicarboxylato)-bis(μ2-1,4-benzenedicarboxylato)-diaqua-bis(dimethylformamide)-di-erbium)",,10.1021/cg400531j,"Haiyan He, Huiqing Ma, Di Sun, Liangliang Zhang, Rongming Wang, Daofeng Sun",Crystal Growth and Design,3154,13,2013-09-11,
RESWUI,"catena-((μ4-1,4-Benzenedicarboxylato)-bis(μ2-1,4-benzenedicarboxylato)-diaqua-bis(dimethylformamide)-di-erbium)",colorless,10.1021/ic060568u,"Banglin Chen, Yu Yang, F.Zapata, Guodong Qian, Yongshi Luo, Jiahua Zhang, E.B.Lobkovsky",Inorganic Chemistry,8882,45,2007-02-05,colorless
RETBEZ,"catena-((μ4-1,1'-Butane-1,4-diylbis(2-(pyridin-3-yl)-1H-benzimidazole))-bis(μ4-benzene-1,3,5-tricarboxylato)-aqua-tri-zinc monohydrate)",,10.1039/C3CE00009E,"Hai-Yan Liu, Jian-Fang Ma, Ying-Ying Liu, Jin Yang",CrystEngComm,2699,15,2013-05-19,
RETVIW,catena-(bis(μ7-2-Sulfoterephthalato)-(μ2-pyrazine)-diaqua-di-cadmium(ii)-di-sodium(i) tetrahydrate clathrate),colorless,10.1002/anie.200603196,"S.Horike, R.Matsuda, D.Tanaka, S.Matsubara, M.Mizuno, K.Endo, S.Kitagawa","Angewandte Chemie, International Edition",7226,45,2007-02-05,colorless
REVYUO,"catena-(hexakis(μ3-2,6-bis(1,2,4-Triazol-4-yl)pyridine)-tri-cadmium hexafluorophosphate pentakis(tetrafluoroborate) octadecahydrate)",,10.1039/C3CE26998A,"Bin Ding, Pan Yang, Yuan Yuan Liu, Ying Wang, Gui Xiang Du",CrystEngComm,2490,15,2013-05-19,
REWLEM,"catena-((μ9-5,15-bis(3',5'-dicarboxylatobiphenyl)porphyrinato)-triaqua-di-copper-zinc unknown solvate)",purple,10.1246/cl.2013.298,"S.Matsunaga, S.Kato, N.Endo, W.Mori",Chemistry Letters,298,42,2013-05-19,purple
REWNEO01,"catena-(bis(μ12-1,3,5-tris(N-(3,5-dicarboxyphenyl)-1,2,3-triazen-4-yl)benzene)-hexa-aqua-hexa-copper unknown solvate)",blue,10.1038/srep01149,"Xiao-Jun Wang, Pei-Zhou Li, Yifei Chen, Quan Zhang, Huacheng Zhang, Xiu Xiang Chan, Rakesh Ganguly, Yongxin Li, Jianwen Jiang, Yanli Zhao",Scientific Reports,1149,3,2013-05-20,blue
REWSUJ,"catena-[bis(μ2-4,4'-(4,4'-bipyridinium-1,1'-diyldimethanediyl)dibenzoato)-bis(μ2-oxalato)-diaqua-di-dysprosium(iii) bis(hydroxide) hexacosahydrate]",yellow,10.1039/c3cc38260e,"Jian-Ke Sun, Min Ji, Cheng Chen, Wu-Gen Wang, Peng Wang, Rui-Ping Chen, Jie Zhang",Chemical Communications,1624,49,2013-05-19,yellow
REXCII,"catena-[bis(μ3-2,4,6-tris(Pyridin-4-yl)-1,3,5-triazine)-hexakis(iodo)-tri-zinc(ii) 5,6,7,8-tetramethoxy-2-(4-methoxyphenyl)-4H-chromen-4-one clathrate unknown solvate]",pale yellow,10.1038/nature11990,"Y.Inokuma, S.Yoshioka, J.Ariyoshi, T.Arai, Y.Hitora, K.Takada, S.Matsunaga, K.Rissanen, M.Fujita",Nature (London),461,495,2013-05-19,yellow
REXCOO,"catena-[bis(μ3-2,4,6-tris(Pyridin-4-yl)-1,3,5-triazine)-hexakis(iodo)-tri-zinc(ii) 2-(3,4-dimethoxyphenyl)-3,5,6,7,8-pentamethoxy-4H-chromen-4-one clathrate unknown solvate]",pale yellow,10.1038/nature11990,"Y.Inokuma, S.Yoshioka, J.Ariyoshi, T.Arai, Y.Hitora, K.Takada, S.Matsunaga, K.Rissanen, M.Fujita",Nature (London),461,495,2013-05-19,yellow
REXCUU,"catena-[bis(μ3-2,4,6-tris(Pyridin-4-yl)-1,3,5-triazine)-hexakis(iodo)-tri-zinc(ii) hemikis(2-(3,4-dimethoxyphenyl)-5,6,7,8-tetramethoxy-4H-chromen-4-one) clathrate unknown solvate]",pale yellow,10.1038/nature11990,"Y.Inokuma, S.Yoshioka, J.Ariyoshi, T.Arai, Y.Hitora, K.Takada, S.Matsunaga, K.Rissanen, M.Fujita",Nature (London),461,495,2013-05-19,yellow
REXDAB,"catena-[octakis(μ3-2,4,6-tris(Pyridin-4-yl)-1,3,5-triazine)-tetracosakis(iodo)-dodeca-zinc(ii) pentakis(3,5a,9-trimethyl-3a,5,5a,9b-tetrahydronaphtho[1,2-b]furan-2,8(3H,4H)-dione) clathrate cyclohexane unknown solvate]",colorless,10.1038/nature11990,"Y.Inokuma, S.Yoshioka, J.Ariyoshi, T.Arai, Y.Hitora, K.Takada, S.Matsunaga, K.Rissanen, M.Fujita",Nature (London),461,495,2013-05-19,colorless
REXDIJ,"catena-[bis(μ3-2,4,6-tris(Pyridin-4-yl)-1,3,5-triazine)-hexakis(iodo)-tri-zinc(ii) 9-bromophenanthrene clathrate unknown solvate]",pale yellow,10.1038/nature11990,"Y.Inokuma, S.Yoshioka, J.Ariyoshi, T.Arai, Y.Hitora, K.Takada, S.Matsunaga, K.Rissanen, M.Fujita",Nature (London),461,495,2013-05-19,yellow
REXDUV,"catena-[bis(μ3-2,4,6-tris(Pyridin-4-yl)-1,3,5-triazine)-hexakis(iodo)-tri-zinc(ii) hemikis(3-phenylacrylaldehyde) clathrate unknown solvate]",colorless,10.1038/nature11990,"Y.Inokuma, S.Yoshioka, J.Ariyoshi, T.Arai, Y.Hitora, K.Takada, S.Matsunaga, K.Rissanen, M.Fujita",Nature (London),461,495,2013-05-19,colorless
REXFEH,"catena-[bis(μ3-2,4,6-tris(Pyridin-4-yl)-1,3,5-triazine)-hexakis(iodo)-tri-zinc(ii) 4-nitrobenzaldehyde clathrate unknown solvate]",colorless,10.1038/nature11990,"Y.Inokuma, S.Yoshioka, J.Ariyoshi, T.Arai, Y.Hitora, K.Takada, S.Matsunaga, K.Rissanen, M.Fujita",Nature (London),461,495,2013-05-19,colorless
REXFUX,"catena-[bis(μ3-2,4,6-tris(Pyridin-4-yl)-1,3,5-triazine)-hexakis(iodo)-tri-zinc(ii) isoprene clathrate unknown solvate]",colorless,10.1038/nature11990,"Y.Inokuma, S.Yoshioka, J.Ariyoshi, T.Arai, Y.Hitora, K.Takada, S.Matsunaga, K.Rissanen, M.Fujita",Nature (London),461,495,2013-05-19,colorless
REXGAE,"catena-[octakis(μ3-2,4,6-tris(Pyridin-4-yl)-1,3,5-triazine)-dodecakis(isothiocyanato)-hexa-cobalt(ii) tetrakis(cyclohexanone) clathrate unknown solvate]",orange,10.1038/nature11990,"Y.Inokuma, S.Yoshioka, J.Ariyoshi, T.Arai, Y.Hitora, K.Takada, S.Matsunaga, K.Rissanen, M.Fujita",Nature (London),461,495,2013-05-19,orange
REYBAA,"catena-[(μ4-5,5'-(1,4-Phenylenebis(methyleneoxy))diisophthalato)-bis(μ2-4,4'-diazene-1,2-diyldipyridine)-di-zinc(ii) tetrahydrate]",red,10.1039/c3ce26864k,"Xiang He, Xiao-Peng Lu, Zhan-Feng Ju, Chun-Ju Li, Qi-Kai Zhang, Ming-Xing Li",CrystEngComm,2731,15,2013-05-19,red
REYCOP,"catena-[(μ4-5,5'-(1,4-Phenylenebis(methyleneoxy))diisophthalato)-bis(μ2-1,4-bis(pyridin-4-ylmethyl)piperazine)-di-zinc(ii) hexahydrate]",yellow,10.1039/c3ce26864k,"Xiang He, Xiao-Peng Lu, Zhan-Feng Ju, Chun-Ju Li, Qi-Kai Zhang, Ming-Xing Li",CrystEngComm,2731,15,2013-05-19,yellow
REYJEM,"catena-[bis(dimethylammonium) (μ8-5-(3-(3,5-dicarboxylatophenoxy)-2,2-bis[(3,5-dicarboxylatophenoxy)methyl]propoxy)benzene-1,3-dicarboxylato)-di-indium dihydrate]",colorless,10.1039/C3TA01118F,"Yun-Shan Xue, Yabing He, Lian Zhou, Fei-Jian Chen, Yan Xu, Hong-Bin Du, Xiao-Zeng You, Banglin Chen",Journal of Materials Chemistry A,4525,1,2013-05-19,colorless
REYMOZ,"catena-(tetrakis(Tetramethylammonium) tetrakis(bis(μ6-benzene-1,3,5-tricarboxylato)-triaqua-tri-copper) (μ12-phosphato)-tetracosakis(μ2-oxo)-dodecaoxo-undeca-molybdenum-vanadium hydrate)",green,10.1016/j.catcom.2013.02.013,"Hua Yang, Jun Li, Lianyue Wang, Wen Dai, Ying Lv, Shuang Gao",Catalysis Communications,101,35,2013-05-19,green
REYPES,"catena-(tetrakis(m3-4,5-Dicarboxylato-1,2,3-triazolato)-pentakis(μ2-4,4'-diazene-1,2,diyldipyridine)-diaqua-hexa-zinc nonahydrate)",red,10.1039/C3CE26854C,"Ji-Yong Zou, Hong-Ling Gao, Wei Shi, Jian-Zhong Cui, Peng Cheng",CrystEngComm,2682,15,2013-05-19,red
REYPIW,"catena-(bis(m3-4,5-Dicarboxylato-1,2,3-triazolato)-tris(μ2-4,4'-bipyridine)-tri-zinc 4,4'-bipyridine hydrate)",colorless,10.1039/C3CE26854C,"Ji-Yong Zou, Hong-Ling Gao, Wei Shi, Jian-Zhong Cui, Peng Cheng",CrystEngComm,2682,15,2013-05-19,colorless
REZJIR03,catena-[bis(1H-imidazol-3-ium) hexakis(μ2-formato)-di-manganese(ii)],colorless,10.1039/C3RA43165G,"B.Pato-Doldan, L.C.Gomez-Aguirre, J.M.Bermudez-Garcia, M.Sanchez-Andujar, A.Fondado, J.Mira, S.Castro-Garcia, M.A.Senaris-Rodriguez",RSC Advances,22404,3,2013-10-04,colorless
REZJIR,catena-[bis(1H-imidazol-3-ium) hexakis(μ2-formato)-di-manganese(ii)],colorless,10.1107/S0108270113012638,"Bi-Qin Wang, Hai-Biao Yan, Zheng-Qing Huang, Zhi Zhang","Acta Crystallographica,Section C: Crystal Structure Communications",616,69,2013-07-16,colorless
REZXEA,"catena-(tris(μ4-Benzene-1,4-dicarboxylato)-(μ3-oxo)-triaqua-tri-chromium(iii) fluoride tetracosakis(methanol) clathrate)",,10.1126/science.1137975,"C.Serre, C.Mellot-Draznieks, S.Surble, N.Audebrand, Y.Filinchuk, G.Ferey",Science,1828,315,2007-08-13,
REZXIE01,catena-(tris(μ4-Fumarato)-(μ3-oxo)-triaqua-tri-iron(iii) acetate nonadecahydrate clathrate),,10.1021/ja054900x,"C.Mellot-Draznieks, C.Serre, S.Surble, N.Audebrand, G.Ferey",Journal of the American Chemical Society,16273,127,2007-08-12,
REZXIE,catena-(tris(μ4-Fumarato)-(μ3-oxo)-triaqua-tri-iron(iii) acetate nonadecahydrate clathrate),,10.1126/science.1137975,"C.Serre, C.Mellot-Draznieks, S.Surble, N.Audebrand, Y.Filinchuk, G.Ferey",Science,1828,315,2007-08-13,
REZXOK,"catena-(tris(μ4-2,6-Naphthalenedicarboxylato)-(μ3-oxo)-triaqua-tri-iron(iii) pentadecakis(pyridine) clathrate hydrate)",,10.1126/science.1137975,"C.Serre, C.Mellot-Draznieks, S.Surble, N.Audebrand, Y.Filinchuk, G.Ferey",Science,1828,315,2007-08-13,
REZXUQ,"catena-(tris(μ4-4,4'-Biphenyldicarboxylato)-(μ3-oxo)-triaqua-tri-chromium(iii) fluoride nonakis(lutidine) clathrate pentadecahydrate)",,10.1126/science.1137975,"C.Serre, C.Mellot-Draznieks, S.Surble, N.Audebrand, Y.Filinchuk, G.Ferey",Science,1828,315,2007-08-13,
RIBDAJ,"catena-[(μ6-benzene-1,3,5-tricarboxylato)-(μ4-benzene-1,3,5-tricarboxylato)-tetrapyridine-di-copper-di-nickel]",green,10.1039/C3DT51103K,"Junkuo Gao, Mi He, Zhi Yi Lee, Wenfang Cao, Wei-Wei Xiong, Yongxin Li, Rakesh Ganguly, Tom Wu, Qichun Zhang",Dalton Transactions,11367,42,2013-07-16,green
RIBDEN,"catena-[(μ6-benzene-1,3,5-tricarboxylato)-(μ4-benzene-1,3,5-tricarboxylato)-tetrapyridine-di-copper-di-cobalt]",red,10.1039/C3DT51103K,"Junkuo Gao, Mi He, Zhi Yi Lee, Wenfang Cao, Wei-Wei Xiong, Yongxin Li, Rakesh Ganguly, Tom Wu, Qichun Zhang",Dalton Transactions,11367,42,2013-07-16,red
RIBTAZ,"catena-[(μ10-5,5'-((6-((4-Carboxyphenyl)amino)-1,3,5-triazine-2,4-diyl)diimino)diisophthalato)-bis(μ2-hydroxo)-(μ2-1-methylpyrrolidin-2-one)-aqua-nitrato-tetra-copper 1-methylpyrrolidin-2-one solvate dihydrate]",green,10.1039/C3CE40599K,"Yu-Xian Wang, Zhong-Yi Li, Jiang Zhu, Xiao-Qun Wang, Ling-Ling Xu, A.Lachgar, Jian-Jun Zhang",CrystEngComm,6395,15,2013-07-16,green
RICHIV,"catena-(bis(μ4-cis-(a,e)-Cyclohexane-1,4-dicarboxylato-O,O,O',O'',O'',O''')-(μ4-trans-(e,e)-cyclohexane-1,4-dicarboxylato-O,O',O'',O''')-aqua-di-lanthanum hydrate)",colorless,10.1002/chem.200600966,"K.P.Rao, A.Thirumurugan, C.N.R.Rao",Chemistry-A European Journal,3193,13,2007-08-13,colorless
RIFGAQ,"catena-[bis(tetramethylammonium) bis(μ6-Benzene-1,3,5-tricarboxylato)-triaqua-tri-copper (μ12-phosphato)-tetracosakis(μ2-oxo)-dodecaoxo-di-vanadium-deca-molybdenum tetradecahydrate]",green,10.1002/cctc.201300378,"Yiwei Liu, Shumei Liu, Shuxia Liu, Dadong Liang, Shujun Li, Qun Tang, Xingquan Wang, Jun Miao, Zhan Shi, Zhiping Zheng",ChemCatChem,3086,5,2013-07-17,green
RIFQEC,catena(bis(μ4-carbonato)-(μ4-oxalato)-bis(μ3-oxalato)-(μ2-oxalato)-tris(μ2-aqua)-diaqua-tetra-cerium pentahydrate),,10.1006/jssc.1996.0382,"S.Romero, A.Mosset, J.C.Trombe",Journal of Solid State Chemistry,256,127,1997-10-21,
RIFQUT,"catena-(bis(μ6-phosphato)-bis(μ5-monohydrogenphosphato)-bis(μ2-aqua)-(μ2-1,4-diaminocyclohexane)-bis(μ2-hydroxo)-hexa-cobalt hexahydrate)",blue,10.1016/j.jssc.2007.03.015,"Wei-Kuo Chang, Ray-Kuang Chiang, Sue-Lein Wang",Journal of Solid State Chemistry,1713,180,2007-08-13,blue
RIGPEE01,"catena-((μ3-2,4,6-tris(pyridin-4-yl)pyridine)-copper(i) nitrate methanol solvate)",orange,10.1039/C3SC00057E,"Yong-Qiang Chen, Guo-Rong Li, Ze Chang, Yang-Kun Qu, Ying-Hui Zhang, Xian-He Bu",Chemical Science,3678,4,2013-07-17,orange
RIGPEE,"catena-((μ3-2,4,6-tris(pyridin-4-yl)pyridine)-copper(i) nitrate methanol solvate)",orange,10.1039/C3SC00057E,"Yong-Qiang Chen, Guo-Rong Li, Ze Chang, Yang-Kun Qu, Ying-Hui Zhang, Xian-He Bu",Chemical Science,3678,4,2013-07-17,orange
RIGTIL,"catena-[bis(Propane-1,2-diammonium) bis(μ4-benzene-1,2,4,5-tetracarboxylato-κ4O:O':O'':O''')-di-zinc(ii) octahydrate]",colorless,10.1107/S1600536807028905,"M.Rafizadeh, V.Amani, S.Zahiri",Acta Crystallographica Section E: Structure Reports Online [2001-2014],m1938,63,2007-08-13,colorless
RIGWIP,"catena-[bis(μ4-Pyrimidine-4,6-dicarboxylato)-bis(μ3-hydroxo)-di-europium hydrate]",colorless,10.1021/ic302556r,"Hao-Ling Sun, Dan-Dan Yin, Qi Chen, Zhenqiang Wang",Inorganic Chemistry,3582,52,2013-07-17,colorless
RILVOZ,catena-[(dimethylformamide)(μ4-5-methoxyisophthalato)manganese(ii)],yellow,10.1107/S0108270113008512,Xiao-Hui Huang,"Acta Crystallographica,Section C: Crystal Structure Communications",483,69,2013-07-17,yellow
RINSEM,catena-[bis(Guanidinium) bis(μ2-phosphonato)-zinc],colorless,10.1039/b102007m,"W.T.A.Harrison, M.L.F.Phillips, T.M.Nenoff","Journal of the Chemical Society, Dalton Transactions",2459,,2001-11-22,colorless
RIPKIM,"catena-[bis(μ4-pentanedioate)-(μ2-4,4'-(hydrazine-1,2-diylidenedieth-1-yl-1-ylidene)dipyridine)-di-copper dihydrate]",green,10.1039/C3DT52266K,"B.Bhattacharya, R.Haldar, R.Dey, T.K.Maji, D.Ghoshal",Dalton Transactions,2272,43,2013-12-03,green
RIPNOV,catena-[bis(μ2-tetradeuteriumbenzimidazolyl)-zinc(ii)],,10.1039/C3TA13981F,"Pu Zhao, G.I.Lampronti, G.O.Lloyd, E.Suard, S.A.T.Redfern",Journal of Materials Chemistry A,620,2,2013-12-03,
RIPNUB,catena-[bis(μ2-tetradeuteriumbenzimidazolyl)-zinc(ii) (carbon dioxide)],,10.1039/C3TA13981F,"Pu Zhao, G.I.Lampronti, G.O.Lloyd, E.Suard, S.A.T.Redfern",Journal of Materials Chemistry A,620,2,2013-12-03,
RIPPEN,catena-[bis(μ2-tetradeuteriumbenzimidazolyl)-zinc(ii) (carbon dioxide)],,10.1039/C3TA13981F,"Pu Zhao, G.I.Lampronti, G.O.Lloyd, E.Suard, S.A.T.Redfern",Journal of Materials Chemistry A,620,2,2013-12-03,
RIPTAM,"catena-(bis(μ3-Pyridine-2,6-dicarboxylato)-tetrakis(μ2-pyridine-2,6-dicarboxylato)-dodecaaqua-tri-calcium(ii)-di-terbium(iii) dodecahydrate)",colorless,10.1016/j.inoche.2007.07.015,"Ming Li, Liangjie Yuan, Hua Li, Jutang Sun",Inorganic Chemistry Communications,1281,10,2008-03-06,colorless
RIPTEQ,catena-(Ethylenediammonium tetrakis(2-aminoethylammonium) bis(μ7-phosphato)-bis(μ4-hydrogen phosphato)-tetrakis(μ3-hydrogen phosphato)-hexakis(μ3-oxo)-hexakis(μ2-hydroxo)-octakis(μ2-oxo)-diaqua-decaoxo-dodeca-molybdenum(v)-di-sodium-di-zinc trihydrate),yellow-red,10.1016/j.inoche.2007.07.031,"Xinqin Chen, Shen Lin, Lijuan Chen, Xiaohua Chen, Chunlian Liu, Jiebo Chen, Liuyi Yang",Inorganic Chemistry Communications,1285,10,2008-03-06,yellow-red
RIPWIY,catena-[sodium tetra-potassium dichloride pentakis(μ-phosphato)-bis(μ-glycinato)-(μ-oxalato)-heptacontakis(μ-oxo)-tetracosa-aqua-icosaoxo-di-copper-tetra-samarium-triaconta-tungsten pentacosahydrate],,10.1002/asia.201301305,"Yan-Ying Li, Jun-Wei Zhao, Qi Wei, Bai-Feng Yang, Huan He, Guo-Yu Yang",Chemistry-An Asian Journal,858,9,2013-12-03,
RIRDED,"catena-[bis(μ2-2-nitroimidazolato)-bis(μ2-5-chlorobenzimidazolato)-di-cobalt N,N-dimethylformamide solvate]",pink,10.1039/C3CE42075B,"T.Panda, K.M.Gupta, Jianwen Jiang, R.Banerjee",CrystEngComm,4677,16,2013-12-04,pink
RIRDIH,"catena-(bis(μ-2-nitroimidazolato)-bis(μ-5-bromoimidazolato)-di-cobalt N,N-dimethylformamide solvate)",pink,10.1039/C3CE42075B,"T.Panda, K.M.Gupta, Jianwen Jiang, R.Banerjee",CrystEngComm,4677,16,2013-12-04,pink
RITGIM,"catena-[bis(μ-3-carboxybenzoato)-(μ-ethyne-1,2-diyl)-bis(μ-trifluoroacetato)-aqua-hexa-silver]",colorless,10.1039/C3CE41671B,"Ting Hu, Jin Yang, T.C.W.Mak",CrystEngComm,6316,16,2013-12-06,colorless
RITGUY,"catena-[bis(μ-3-cyanobenzoato)-(μ-ethyne-1,2-diyl)-tetrakis(μ-trifluoroacetato)-octa-silver tetrahydrate]",colorless,10.1039/C3CE41671B,"Ting Hu, Jin Yang, T.C.W.Mak",CrystEngComm,6316,16,2013-12-06,colorless
RIVDEF,catena-((μ3-Tricyanomethanide)-(μ2-tetramethoxyborane)-cadmium methanol solvate),colorless,10.1002/anie.199706361,"S.R.Batten, B.F.Hoskins, R.Robson","Angewandte Chemie, International Edition",636,36,1997-12-10,colorless
RIWMUH,"catena-((μ4-2,2'-Dimethoxybiphenyl-4,4'-dicarboxylato)-aqua-copper)",blue,10.1039/C3CE41428K,"Rui Luo, Heng Xu, Hao-Xue Gu, Xin Wang, Yan Xu, Xuan Shen, Weiwei Bao, Dun-Ru Zhu",CrystEngComm,784,16,2013-12-06,blue
